,user,country,rating
173,11457,115,2
174,71139,182,3
175,3526,7,4
176,31176,72,5
177,7091,108,3
178,19242,150,4
179,26863,67,2
180,75464,14,2
181,2438,44,4
182,58567,43,4
183,63324,67,3
184,24630,16,4
185,25411,76,3
186,68563,44,3
187,37347,170,4
188,8283,185,2
189,69903,22,4
190,42328,151,3
191,82604,121,2
192,73679,163,2
193,53002,169,2
194,17432,46,3
195,42726,14,3
196,56233,194,4
197,14887,110,4
198,34974,136,3
199,3766,209,2
200,37147,14,4
201,70778,48,2
202,49114,129,3
203,70068,209,2
204,45756,98,4
205,4777,52,4
206,52952,124,3
207,14812,84,4
208,55103,209,3
209,77957,92,3
210,57719,67,3
211,73542,0,4
212,42500,176,4
213,38047,106,2
214,18994,120,2
215,12484,29,3
216,42594,192,3
217,57158,157,4
218,72856,11,2
219,55491,93,2
220,54329,24,2
221,68418,61,3
222,56570,11,3
223,18455,11,2
224,2094,40,4
225,22482,104,2
226,42675,210,2
227,12360,111,3
228,80723,164,4
229,77,97,5
230,81535,42,2
231,77921,5,2
232,1802,189,3
233,57551,216,3
234,58054,117,5
235,25265,7,3
236,31934,164,3
237,59649,57,4
238,7002,187,3
239,61437,43,5
240,31781,48,4
241,46669,140,4
242,38877,199,3
243,34851,100,3
244,22801,120,2
245,44313,202,4
246,36087,40,4
247,69491,47,3
248,17548,210,3
249,32188,119,4
250,54482,7,5
251,38714,176,4
252,75497,66,4
253,7741,63,2
254,67509,148,3
255,43009,34,2
256,50093,103,2
257,9867,190,2
258,22846,54,2
259,8782,197,3
260,77161,148,2
261,31923,96,2
262,3211,159,1
263,42713,127,4
264,36556,118,2
265,11265,16,5
266,13447,163,4
267,53400,115,2
268,71701,34,4
269,65657,28,2
270,9921,80,1
271,64635,217,2
272,38394,122,2
273,55096,147,1
274,16424,167,2
275,77082,173,2
276,24759,16,5
277,65684,47,3
278,71391,193,4
279,32228,13,3
280,16178,137,4
281,40442,164,4
282,68216,57,4
283,37674,56,5
284,9791,132,3
285,356,120,3
286,2144,152,5
287,6876,175,3
288,70289,192,2
289,68468,183,4
290,57541,191,2
291,39231,165,2
292,43938,30,3
293,50326,8,2
294,29848,157,4
295,79420,82,2
296,7941,93,1
297,65457,132,2
298,61139,172,4
299,61757,187,3
300,65243,164,2
301,8004,206,3
302,44700,47,3
303,47190,79,5
304,16915,100,4
305,70951,195,4
306,78715,204,3
307,31384,0,4
308,69275,210,2
309,77453,39,3
310,61363,139,3
311,4113,116,4
312,61343,124,2
313,51275,7,4
314,68857,84,4
315,78306,101,4
316,11925,54,3
317,70774,210,2
318,42426,203,4
319,35589,108,2
320,56710,90,5
321,36734,60,2
322,2811,183,5
323,72869,171,3
324,63704,178,5
325,54150,140,2
326,54451,113,3
327,75663,45,4
328,46527,207,4
329,62258,187,3
330,47191,135,4
331,71381,213,3
332,58297,142,4
333,6110,193,2
334,57086,108,4
335,4992,42,2
336,54641,84,2
337,67325,220,3
338,50240,5,2
339,77035,189,3
340,34818,211,3
341,2847,134,4
342,53400,8,4
343,38719,13,3
344,51619,25,2
345,25420,150,4
346,53031,60,3
347,67860,192,3
348,52315,118,3
349,3264,114,3
350,56159,91,2
351,54673,205,3
352,81165,158,2
353,118,217,4
354,29730,14,2
355,26376,97,4
356,30212,157,2
357,58463,1,3
358,42058,47,4
359,58782,160,5
360,75611,101,4
361,72413,69,3
362,30689,29,4
363,12255,25,1
364,71956,110,3
365,60977,47,5
366,40024,88,3
367,36875,203,4
368,75552,106,3
369,69144,9,3
370,13596,176,3
371,57587,165,2
372,72534,172,4
373,15265,154,5
374,34881,62,4
375,76894,200,3
376,55388,195,2
377,50901,188,3
378,63407,90,4
379,75050,43,4
380,38732,46,4
381,72375,33,4
382,36297,59,4
383,53890,127,3
384,68131,58,5
385,2560,137,4
386,53419,124,4
387,43135,162,3
388,23556,215,3
389,35066,118,2
390,5334,187,4
391,47092,129,3
392,56784,84,2
393,82609,125,5
394,15458,163,3
395,45553,164,4
396,61595,117,3
397,77354,56,5
398,14296,108,4
399,29588,179,3
400,46646,121,3
401,16537,62,5
402,21274,171,3
403,19731,27,4
404,66827,13,4
405,51698,129,2
406,57841,217,4
407,40995,62,5
408,76300,94,2
409,75487,53,2
410,15750,127,3
411,81814,164,3
412,26817,126,4
413,4102,57,4
414,82121,64,4
415,41324,102,3
416,29921,184,4
417,5805,81,3
418,82542,3,2
419,3174,211,3
420,76140,111,3
421,4000,161,4
422,8626,159,2
423,63094,98,5
424,15020,120,4
425,12944,21,4
426,8070,38,2
427,38311,51,2
428,16532,183,5
429,69280,162,2
430,79627,21,4
431,50198,21,2
432,46408,0,3
433,39435,205,3
434,42857,39,3
435,47528,45,2
436,18902,84,4
437,19691,86,3
438,15368,144,3
439,9858,55,5
440,269,3,4
441,68672,158,2
442,36509,137,5
443,52711,68,3
444,61532,109,4
445,9404,202,3
446,40278,160,4
447,58642,14,3
448,70579,123,3
449,69869,13,5
450,50711,102,3
451,64668,204,5
452,7097,65,4
453,1695,128,2
454,47123,145,3
455,15179,208,4
456,54606,41,3
457,38459,110,3
458,23177,209,4
459,37451,93,2
460,22509,201,4
461,29510,81,3
462,35947,20,3
463,80336,194,4
464,55843,219,1
465,43248,2,5
466,74696,57,4
467,53394,99,2
468,19276,149,4
469,78688,123,1
470,73166,133,5
471,70516,76,4
472,69550,135,4
473,49167,106,4
474,38776,192,3
475,45912,176,3
476,16873,145,3
477,64639,112,3
478,78247,164,3
479,39577,80,2
480,20704,169,2
481,47258,171,3
482,65634,172,4
483,58303,199,2
484,51736,221,3
485,6489,87,2
486,12218,160,3
487,57367,205,3
488,8314,194,2
489,34594,6,1
490,46463,31,2
491,47691,214,4
492,55314,140,4
493,1609,66,3
494,72051,49,5
495,28050,158,4
496,45856,138,1
497,46845,146,2
498,43161,104,3
499,70687,38,4
500,14461,32,3
501,14751,60,3
502,30426,56,3
503,53663,163,3
504,3272,163,3
505,81113,191,3
506,44570,49,4
507,12220,55,5
508,79267,139,3
509,14302,147,3
510,40355,100,2
511,43261,118,3
512,43987,97,3
513,147,191,2
514,69241,161,2
515,15263,123,1
516,73153,176,3
517,1326,31,4
518,68985,130,2
519,6608,166,2
520,32842,158,3
521,63549,173,3
522,72469,57,4
523,27557,125,4
524,35257,141,3
525,45230,216,2
526,63937,29,4
527,26470,0,4
528,18546,157,2
529,35016,131,3
530,58417,207,3
531,35079,2,3
532,18855,73,4
533,22242,120,2
534,10113,169,3
535,47135,23,4
536,21003,44,3
537,43886,171,4
538,27936,155,3
539,61011,102,2
540,60043,219,1
541,19290,155,4
542,7462,108,4
543,12204,23,2
544,82191,149,3
545,68410,155,3
546,20054,19,3
547,59858,180,3
548,48581,104,4
549,9732,67,3
550,15799,2,3
551,18993,124,3
552,55089,63,3
553,26941,151,2
554,66819,164,2
555,7321,62,3
556,22751,107,1
557,28200,5,2
558,71022,53,3
559,29737,152,4
560,10676,61,2
561,29693,166,2
562,71277,204,3
563,34031,152,3
564,68218,118,3
565,9738,185,4
566,17378,37,4
567,30984,157,3
568,49600,187,4
569,76685,3,4
570,34643,99,1
571,14721,191,4
572,13615,220,5
573,42986,44,3
574,23649,63,3
575,76317,81,3
576,13075,181,2
577,48540,119,3
578,11385,202,3
579,441,32,3
580,67726,66,4
581,20827,172,2
582,78737,95,4
583,80333,68,4
584,74197,160,3
585,25420,5,3
586,67028,179,3
587,44578,79,5
588,25575,186,3
589,29461,22,3
590,60657,97,4
591,42555,184,4
592,26390,202,5
593,46659,152,5
594,5498,21,4
595,81704,78,3
596,37080,124,2
597,26765,126,3
598,41034,136,3
599,50227,183,3
600,39126,213,2
601,66774,104,4
602,52724,53,4
603,12885,145,4
604,81161,92,2
605,37037,84,3
606,32715,52,4
607,9390,159,1
608,59045,122,3
609,24003,80,3
610,29288,73,2
611,65746,161,3
612,39830,15,4
613,29451,221,4
614,46004,197,2
615,2844,89,3
616,6685,156,4
617,72441,92,3
618,57940,152,4
619,15907,192,2
620,1533,194,3
621,54277,193,3
622,40454,62,5
623,57234,120,4
624,30162,149,2
625,49222,12,3
626,18046,35,3
627,71294,157,4
628,37220,92,4
629,41049,201,4
630,45463,179,4
631,39352,39,3
632,14224,23,2
633,10094,207,3
634,72889,175,2
635,38134,183,4
636,12329,59,2
637,32399,176,2
638,50946,67,4
639,36742,212,4
640,73101,68,3
641,33341,161,3
642,69472,205,4
643,78100,63,2
644,22978,1,4
645,75921,82,3
646,43996,28,4
647,32588,216,2
648,28088,48,2
649,12673,46,4
650,41019,156,3
651,6510,130,3
652,17927,125,5
653,11722,79,4
654,37341,60,2
655,73066,2,5
656,66172,182,3
657,78019,214,4
658,82335,183,4
659,24526,139,3
660,43579,212,3
661,65084,143,3
662,69496,18,3
663,46119,101,2
664,8651,184,4
665,61428,211,3
666,5857,44,2
667,17562,13,5
668,20660,116,4
669,68686,213,3
670,3317,64,3
671,16649,154,4
672,66554,57,5
673,20472,180,4
674,58483,13,5
675,72914,67,3
676,45041,173,2
677,52714,190,3
678,17649,98,3
679,75171,162,3
680,15256,131,3
681,7641,150,3
682,15157,51,3
683,7380,189,3
684,31633,22,4
685,82071,27,3
686,30894,117,5
687,76895,135,4
688,58216,188,3
689,13718,75,3
690,58884,135,4
691,21078,138,3
692,7183,140,4
693,68658,106,2
694,12461,99,1
695,31766,48,3
696,10407,114,3
697,43351,76,5
698,7474,82,4
699,27150,44,4
700,50956,148,3
701,81491,98,3
702,73323,201,3
703,52202,180,2
704,49957,78,4
705,68246,75,2
706,21873,2,5
707,73832,69,1
708,30737,73,3
709,71300,218,2
710,73892,17,4
711,51003,70,2
712,66739,24,3
713,62018,162,1
714,25250,22,2
715,69764,131,2
716,71099,138,2
717,31025,97,3
718,63438,103,2
719,68055,144,2
720,38457,170,3
721,69206,200,3
722,12385,152,5
723,60836,163,2
724,80695,106,2
725,19237,182,5
726,79062,6,2
727,26059,112,4
728,3156,80,1
729,54837,28,4
730,11823,144,2
731,72774,200,1
732,73397,188,1
733,78027,63,4
734,39248,142,4
735,16984,195,2
736,55189,29,2
737,20029,159,1
738,69760,29,3
739,78521,91,2
740,31424,67,3
741,2366,90,4
742,36315,69,2
743,66430,179,3
744,26362,187,3
745,3665,94,3
746,48200,19,3
747,81103,173,3
748,3275,81,2
749,69143,119,4
750,58083,63,3
751,58602,220,5
752,68151,214,3
753,40896,31,3
754,17680,95,2
755,33318,210,2
756,74203,179,2
757,77066,131,4
758,36585,216,2
759,27606,117,4
760,62579,184,5
761,38148,158,2
762,6038,159,2
763,19877,98,5
764,59521,176,3
765,66796,153,2
766,77017,118,3
767,76924,19,3
768,10703,124,3
769,61304,143,4
770,20088,184,3
771,69899,190,3
772,64938,179,2
773,50980,189,4
774,15501,24,3
775,8370,206,5
776,17968,119,3
777,20988,169,4
778,49322,102,4
779,72726,148,2
780,34776,90,5
781,57598,89,2
782,15404,39,4
783,35005,76,5
784,78235,70,3
785,82308,100,3
786,45972,61,1
787,27055,72,4
788,8336,45,2
789,13054,47,3
790,74411,98,4
791,38676,24,3
792,76153,106,3
793,11172,176,3
794,45192,99,1
795,70854,73,2
796,29570,221,5
797,34945,167,4
798,3137,59,3
799,49278,120,3
800,51705,49,3
801,10646,182,3
802,5616,184,5
803,68530,38,2
804,38753,220,5
805,19762,158,4
806,18642,141,2
807,47987,110,2
808,26741,2,5
809,61434,50,5
810,69064,131,4
811,44575,187,2
812,75377,180,3
813,35638,109,3
814,465,132,3
815,8967,154,4
816,49519,110,4
817,2660,122,2
818,76103,79,5
819,76609,202,3
820,61748,82,4
821,25210,213,3
822,41716,69,2
823,61735,37,3
824,26224,177,3
825,28261,181,3
826,17075,57,4
827,23969,117,3
828,45484,91,3
829,77322,77,2
830,67291,196,4
831,37256,130,3
832,41805,198,1
833,22487,8,4
834,67758,138,3
835,29648,12,4
836,61300,80,1
837,19788,144,2
838,11091,134,4
839,80821,171,5
840,8538,195,4
841,37713,22,2
842,63389,217,2
843,28104,153,4
844,18766,19,3
845,18223,86,3
846,18222,9,1
847,44114,142,3
848,76150,132,3
849,189,100,3
850,28493,90,3
851,41144,147,2
852,22580,68,5
853,807,45,3
854,65825,198,1
855,79959,211,3
856,48525,221,3
857,15033,187,3
858,33155,198,1
859,82289,119,4
860,60060,204,3
861,27227,191,4
862,71232,79,4
863,36917,85,2
864,7960,111,3
865,65739,206,4
866,24993,216,3
867,73471,21,4
868,77545,217,2
869,82549,1,3
870,9771,96,1
871,54467,184,3
872,31421,91,2
873,55143,9,2
874,50923,162,3
875,42012,210,2
876,27897,122,2
877,61312,23,2
878,781,28,2
879,59573,211,3
880,63071,164,3
881,79301,138,3
882,39412,148,4
883,7085,143,3
884,61770,213,2
885,54982,79,3
886,4862,27,3
887,31161,125,4
888,51791,117,5
889,1241,199,3
890,51186,7,4
891,2025,100,3
892,49175,30,4
893,65330,142,2
894,37889,37,2
895,50822,145,4
896,13114,50,3
897,65643,24,3
898,71437,37,3
899,59077,124,2
900,25052,55,3
901,50435,217,2
902,47229,167,4
903,36602,190,3
904,40167,220,5
905,20284,37,3
906,36916,189,2
907,80962,42,3
908,68063,81,3
909,41058,172,4
910,3207,96,1
911,18042,204,3
912,34898,30,3
913,15914,169,4
914,1976,85,2
915,69941,133,4
916,74563,68,5
917,30623,19,3
918,76008,170,2
919,73399,78,4
920,7296,137,3
921,55828,80,1
922,66086,164,3
923,56806,147,3
924,37622,7,5
925,16603,94,3
926,38893,10,4
927,53326,147,3
928,19068,105,4
929,37941,151,2
930,27524,130,2
931,55445,119,4
932,26335,68,3
933,45087,26,3
934,68244,144,3
935,14920,83,2
936,61520,169,2
937,38185,141,4
938,56851,189,2
939,48806,122,3
940,49824,152,5
941,24496,145,4
942,11148,161,3
943,23741,73,4
944,49904,75,4
945,28629,195,2
946,34459,182,4
947,51698,199,3
948,32417,35,2
949,11810,53,2
950,46544,53,2
951,38927,52,2
952,69664,26,3
953,67974,24,2
954,22511,115,2
955,41627,96,2
956,25340,99,4
957,73920,201,3
958,6421,215,2
959,36256,63,3
960,8598,131,2
961,53437,164,4
962,73155,127,4
963,5528,119,2
964,42080,40,4
965,55760,29,4
966,10468,217,3
967,72836,209,4
968,71714,68,4
969,65211,139,1
970,72413,97,4
971,69459,29,4
972,37247,71,3
973,5693,95,4
974,8237,2,5
975,65265,117,5
976,78960,48,2
977,81246,52,2
978,49986,199,3
979,7400,50,5
980,20442,44,3
981,60548,131,4
982,69576,131,2
983,76259,164,4
984,55687,108,4
985,80477,57,4
986,80191,67,3
987,43979,119,3
988,45659,73,4
989,53856,52,3
990,32862,126,3
991,25692,103,2
992,63783,13,4
993,501,60,3
994,2074,11,2
995,34581,108,4
996,18853,146,3
997,46063,48,4
998,20727,63,2
999,56226,32,2
1000,17085,148,4
1001,37088,107,1
1002,41595,217,2
1003,35804,23,3
1004,14807,149,4
1005,17341,219,1
1006,81798,143,2
1007,26441,149,2
1008,37707,159,1
1009,21667,4,2
1010,61532,105,4
1011,66806,20,2
1012,72820,107,3
1013,57872,114,1
1014,53963,62,4
1015,20257,175,2
1016,57777,11,4
1017,51973,86,5
1018,3533,139,3
1019,12094,17,3
1020,53833,43,5
1021,80830,149,4
1022,68387,197,2
1023,22304,151,2
1024,54711,116,3
1025,72123,33,2
1026,8285,51,3
1027,6652,97,3
1028,71728,119,2
1029,58381,68,3
1030,70987,43,5
1031,47546,40,4
1032,30011,89,4
1033,47644,96,2
1034,29801,151,4
1035,13525,11,4
1036,2529,8,4
1037,31786,131,2
1038,59968,149,4
1039,20771,147,1
1040,49913,71,2
1041,31603,120,4
1042,7816,208,3
1043,54566,110,4
1044,40004,217,4
1045,56788,37,4
1046,9259,158,4
1047,69517,99,4
1048,29476,85,3
1049,66837,183,3
1050,41324,101,4
1051,73634,125,5
1052,72136,122,4
1053,35865,171,3
1054,65673,180,4
1055,11618,122,4
1056,4446,175,4
1057,69028,148,3
1058,82168,184,4
1059,42542,218,2
1060,71906,122,4
1061,52820,209,2
1062,18063,6,1
1063,9437,48,2
1064,74092,129,3
1065,8232,204,5
1066,82486,6,2
1067,14002,14,3
1068,72012,14,4
1069,21541,2,3
1070,46577,200,2
1071,51116,188,1
1072,55530,115,3
1073,78594,5,2
1074,82591,216,3
1075,42199,81,2
1076,45127,72,5
1077,11302,34,2
1078,48002,100,4
1079,59128,112,2
1080,59766,193,4
1081,31304,146,2
1082,26860,102,3
1083,2065,143,2
1084,3035,214,3
1085,54699,151,2
1086,26634,91,4
1087,57848,12,3
1088,16606,213,3
1089,30740,160,5
1090,24559,142,4
1091,56372,34,2
1092,69180,217,3
1093,78367,186,3
1094,74301,177,2
1095,18047,185,2
1096,82545,161,3
1097,49710,110,2
1098,81482,111,3
1099,73760,77,4
1100,20670,4,4
1101,3700,45,3
1102,36045,67,3
1103,72727,84,4
1104,74088,162,3
1105,75565,189,2
1106,27494,147,2
1107,75838,200,3
1108,30937,118,3
1109,25238,198,2
1110,42107,19,2
1111,63849,120,4
1112,44026,40,3
1113,22323,73,4
1114,11241,199,2
1115,42189,0,4
1116,5814,71,2
1117,58692,108,3
1118,55820,36,4
1119,82551,218,2
1120,5566,95,4
1121,30652,197,3
1122,77237,30,3
1123,67935,1,2
1124,50719,55,5
1125,50511,26,2
1126,11672,174,3
1127,57265,217,3
1128,2720,188,2
1129,80980,14,3
1130,22299,29,2
1131,67740,103,3
1132,18590,221,5
1133,51442,81,2
1134,16498,158,3
1135,66152,85,3
1136,8373,52,4
1137,61971,46,2
1138,5261,23,3
1139,68790,4,3
1140,54493,72,3
1141,14156,18,2
1142,73935,126,3
1143,46974,108,2
1144,15666,101,3
1145,35330,184,5
1146,30990,201,4
1147,41879,156,3
1148,16008,13,4
1149,53985,138,2
1150,17457,137,5
1151,17757,103,3
1152,35552,50,4
1153,4419,7,4
1154,1461,89,3
1155,42666,187,4
1156,38714,199,2
1157,16635,97,3
1158,37493,143,4
1159,47878,105,2
1160,25073,179,4
1161,8109,10,4
1162,73545,65,4
1163,77714,157,2
1164,5108,35,4
1165,48595,129,2
1166,32055,56,3
1167,55436,87,2
1168,4534,187,4
1169,47997,7,3
1170,127,174,4
1171,19936,190,2
1172,54171,209,2
1173,27861,109,4
1174,32293,153,4
1175,13231,80,1
1176,36548,175,2
1177,22576,179,2
1178,49202,10,2
1179,79093,30,3
1180,11365,168,3
1181,58150,163,4
1182,58280,214,3
1183,71350,38,3
1184,71185,184,5
1185,62057,108,2
1186,41404,155,4
1187,56999,170,4
1188,58393,76,4
1189,52527,25,1
1190,16700,42,4
1191,46694,15,2
1192,8903,47,3
1193,19089,118,2
1194,12301,208,3
1195,26360,92,3
1196,5646,1,2
1197,34299,123,1
1198,42339,87,3
1199,2702,191,4
1200,5093,46,3
1201,19870,68,4
1202,39127,51,3
1203,34918,221,3
1204,68359,5,1
1205,74551,113,1
1206,21538,34,3
1207,27708,120,2
1208,59611,111,4
1209,45221,21,4
1210,23101,178,4
1211,43480,37,4
1212,64214,97,3
1213,43637,132,4
1214,54364,171,5
1215,28609,134,3
1216,10565,202,5
1217,13278,64,3
1218,7744,113,3
1219,16290,172,3
1220,37813,208,2
1221,56025,75,3
1222,33759,44,2
1223,76204,39,4
1224,68976,42,3
1225,13880,82,2
1226,18077,135,2
1227,18716,154,4
1228,79957,93,1
1229,42922,172,3
1230,75184,89,3
1231,61248,156,5
1232,66418,85,3
1233,53070,110,2
1234,29891,170,4
1235,70083,95,3
1236,17010,146,3
1237,70439,205,4
1238,920,68,4
1239,23967,79,5
1240,44038,132,3
1241,64454,186,4
1242,35283,199,2
1243,37665,160,5
1244,48212,124,2
1245,67707,85,3
1246,4169,77,3
1247,64940,201,3
1248,31170,217,4
1249,68831,84,2
1250,73620,70,1
1251,52832,98,4
1252,56758,200,1
1253,16434,50,5
1254,80832,190,2
1255,42962,93,2
1256,13468,6,3
1257,36568,1,2
1258,48140,78,3
1259,29544,67,2
1260,11700,205,3
1261,53462,135,4
1262,13395,117,4
1263,25918,2,3
1264,22642,89,3
1265,4030,1,2
1266,62952,113,2
1267,32355,83,1
1268,42736,54,3
1269,8256,26,2
1270,40438,65,2
1271,46593,191,3
1272,54669,202,3
1273,60145,126,2
1274,14373,91,4
1275,12767,48,4
1276,21706,85,2
1277,33013,214,5
1278,56767,193,4
1279,59982,119,3
1280,29178,142,4
1281,67388,213,3
1282,46093,136,3
1283,36190,205,4
1284,81915,44,2
1285,57365,164,4
1286,9956,9,3
1287,48693,22,2
1288,61368,18,2
1289,11536,64,3
1290,63876,159,3
1291,45276,140,4
1292,42726,138,1
1293,56017,166,3
1294,73705,171,4
1295,62124,119,2
1296,34585,170,4
1297,58066,72,4
1298,81312,200,2
1299,31658,118,3
1300,81923,71,4
1301,76711,198,3
1302,78994,1,3
1303,69512,14,2
1304,24023,133,3
1305,30059,182,5
1306,12912,213,3
1307,64396,45,3
1308,77045,71,3
1309,51269,211,2
1310,57001,39,4
1311,16418,34,3
1312,75559,117,4
1313,39556,131,2
1314,6398,10,3
1315,31596,45,3
1316,7498,200,3
1317,5071,199,2
1318,37227,157,2
1319,40148,150,4
1320,926,215,4
1321,31197,185,4
1322,79778,155,3
1323,11598,174,3
1324,25818,37,2
1325,23155,153,4
1326,77117,198,3
1327,25501,133,4
1328,12021,10,2
1329,52646,20,4
1330,38174,45,4
1331,23285,9,2
1332,36477,21,2
1333,21502,75,3
1334,81173,153,2
1335,51626,23,2
1336,80448,37,2
1337,36057,146,3
1338,77573,65,3
1339,878,118,3
1340,743,177,4
1341,51516,202,5
1342,3909,213,2
1343,31674,145,5
1344,27649,48,3
1345,78161,110,4
1346,82950,206,3
1347,34518,1,2
1348,10701,80,2
1349,65580,104,3
1350,16626,94,3
1351,78117,94,3
1352,80344,57,4
1353,68059,189,3
1354,43467,134,3
1355,62606,118,3
1356,51335,160,5
1357,38514,106,2
1358,63645,154,3
1359,22629,15,4
1360,82812,172,2
1361,59000,0,4
1362,78020,188,1
1363,74690,38,4
1364,73571,64,2
1365,25553,168,3
1366,18038,141,4
1367,41773,34,2
1368,59274,38,2
1369,72062,115,3
1370,20381,34,3
1371,46168,34,3
1372,43478,0,2
1373,77968,207,4
1374,55099,98,4
1375,21946,200,3
1376,15320,12,4
1377,4751,182,4
1378,35998,220,3
1379,67401,203,4
1380,37566,139,1
1381,39383,88,3
1382,31479,59,3
1383,57709,3,4
1384,28841,183,3
1385,47068,87,4
1386,21076,55,3
1387,71413,178,4
1388,34121,24,3
1389,21001,200,2
1390,10505,53,4
1391,22242,151,3
1392,67551,84,2
1393,17754,108,2
1394,68344,2,4
1395,10066,75,4
1396,82334,4,3
1397,50650,40,4
1398,66473,218,2
1399,21351,188,2
1400,6460,219,1
1401,7592,133,4
1402,48843,27,4
1403,41031,57,3
1404,45770,131,4
1405,28313,27,3
1406,16030,57,3
1407,1873,193,2
1408,38052,144,3
1409,59372,110,3
1410,3227,141,4
1411,28224,105,3
1412,55477,12,2
1413,46285,4,4
1414,3057,117,4
1415,63350,75,2
1416,50183,194,3
1417,6499,57,3
1418,56813,82,3
1419,7824,77,2
1420,3160,91,3
1421,66321,75,3
1422,72775,133,4
1423,61447,64,4
1424,50149,97,4
1425,35402,176,4
1426,20035,191,3
1427,43095,179,3
1428,59149,154,3
1429,75296,183,3
1430,48612,130,4
1431,52378,148,2
1432,37980,130,4
1433,76695,171,5
1434,61746,27,3
1435,60162,211,2
1436,30423,197,2
1437,64092,48,3
1438,20149,218,1
1439,24608,192,4
1440,22743,61,2
1441,33886,220,4
1442,31061,79,4
1443,24703,46,4
1444,72111,206,5
1445,36537,27,3
1446,11131,181,3
1447,62159,203,4
1448,34951,201,2
1449,19052,152,3
1450,33932,204,4
1451,3963,46,2
1452,16144,9,1
1453,62813,52,4
1454,22088,220,3
1455,36638,177,3
1456,43838,58,5
1457,77164,23,3
1458,10522,112,2
1459,80801,218,3
1460,43812,210,3
1461,81077,185,3
1462,30971,194,2
1463,65105,179,4
1464,28141,113,2
1465,36757,31,4
1466,49250,166,4
1467,5462,64,2
1468,67296,83,1
1469,54594,75,4
1470,10224,82,3
1471,76675,64,2
1472,35365,155,4
1473,43882,207,2
1474,65002,111,4
1475,66125,123,2
1476,14320,83,1
1477,66282,25,2
1478,24843,76,5
1479,41856,51,4
1480,64650,44,2
1481,41838,113,3
1482,23665,89,4
1483,23374,37,4
1484,82359,145,4
1485,82341,42,4
1486,62155,176,2
1487,7298,42,2
1488,17823,99,1
1489,66590,34,2
1490,21780,30,3
1491,10768,89,3
1492,32726,198,2
1493,45215,44,2
1494,26500,42,3
1495,82945,22,4
1496,8397,126,4
1497,44996,209,3
1498,55513,116,4
1499,3619,198,3
