ID,Country,keywords,avg cost per day,climate
50,Christmas Island,island asia beach food,117,mix
51,Cyprus,history island asia beach ,108,mix
52,Czechia,europe food plain history,111,mix
53,Germany,history europe food culture mountain,112,cold
54,Djibouti,history africa plain beach desert,124,hot
55,Denmark,europe beach food,112,cold
56,Dominica,southamerica island food,143,hot
57,Dominican Republic,northamerica island beach culture,112,mix
58,Algeria,africa desert food culture beach,113,mix
59,Ecuador,southamerica culture mountain beach ,108,hot
60,Estonia,europe beach culture,112,cold
61,Egypt,africa food culture beach desert history,113,hot
62,Western Sahara,africa desert,104,hot
63,Eritrea,africa plain desert,129,hot
64,Spain,europe plain food culture history,112,hot
65,United Kingdom,europe history skyscrapper,111,cold
66,France,europe food culture history,112,mix
67,Ethiopia,africa desert wildlife culture,112,hot
68,Falkland Islands,island beach southamerica,85,hot
69,Japan,asia mountain beach island,112,mix
70,Kyrgyzstan,asia mountain plain ,104,mix
71,Micronesia,asia island beach ,143,hot
72,Iraq,asia culture desert,114,hot
73,Iran,asia culture desert mountain food history,124,hot
74,Pakistan,asia history beach mountain food culture,113,mix
75,Iceland,europe mountain beach,117,cold
76,India,asia beach mountain island skyscrapper history food culture desert wildlife,112,mix
77,Japan,asia mountain beach island food culture history skyscrapper,112,mix
78,Italy,europe food culture mountain plain beach,114,mix
79,South Korea,asia skyscrapper mountain plain culture food,113,mix
80,Kuwait,beach skyscrapper desert asia,110,hot
81,Kazakhstan,asia mountain history food,117,cold
82,Maldives,asia beach island mountain,77,hot
83,Mexico,northamerica culture food,112,hot
84,New Zealand,asia island mountain beach,115,cold
85,New Caledonia,asia island beach culture,123,hot
86,Oman,asia beach desert plain food culture,120,hot
87,Qatar,asia desert skyscrapper beach,114,hot
88,United States,northamerica skyscrapper beach mountain desert food culture,112,mix
89,Russia,europe asia mountain plain skyscrapper food history,113,cold
90,Saudi Arabia,asia skyscrapper desert beach mountain history culture,110,hot
91,Singapore,asia skyscrapper beach food culture ,125,mix
92,Thailand,asia beach food culture,113,hot
93,Tajikistan,asia mountain plain culture,120,cold
94,Turkmenistan,asia plain mountain ,115,mix
95,Turkey,europe asia mountain plain beach skyscrapper history food,111,cold
96,Uzbekistan,asia mountain desert culture history,115,mix
97,Yemen,asia desert beach food culture ,116,hot
98,South Africa,africa skyscrapper plain desert wildlife,112,hot
99,Faroe Islands,europe island food history culture,104,cold
100,Finland,europe food history culture beach,111,cold
101,Fiji,northamerica food history culture mountain,108,mix
102,Gabon,africa food history culture,102,mix
103,Grenada,africa food history,138,mix
104,Georgia,europe food history,104,cold
105,Sri Lanka,asia food history culture beach mountain island wildlife,110,mix
106,Guernsey,africa food history culture beach,116,mix
107,Ghana,africa food history,113,hot
108,Gibraltar,europe food history culture,135,mix
109,Greenland,europe  food history culture,98,cold
110,Gambia,africa food history culture beach,110,mix
111,Greece,europe food history,114,mix
112,Guatemala,africa food history culture,113,hot
113,Guam,africa food history culture beach,127,mix
114,Guinea-Bissau,asia food history culture,109,cold
115,Guyana,northamerica food history,104,mix
116,Hong Kong,asia food history culture beach,118,cold
117,Honduras,africa food history,112,hot
118,Haiti,northamerica food history culture mountain forest,112,mix
119,Hungary,europe food history culture beach,114,mix
120,Indonesia,asia food history culture beach mountain,113,mix
121,Ireland,europe food history culture,116,cold
122,Isle of Man,asia island food history,120,hot
123,Jersey,europe food history culture beach,119,mix
124,Jamaica,africa food history culture,114,hot
125,Jordan,asia food history culture beach,111,hot
126,Kenya,africa food history,112,hot
127,Cambodia,asia culture food history beach mountain,111,mix
128,Kiribati,europe food history culture beach,133,cold
129,Comoros,africa food history,93,hot
130,Saint Kitts and Nevis,island asia food history culture beach mountain,85,hot
131,Laos,asia food history culture beach,117,mix
132,Lebanon,asia food history,109,mix
133,Saint Lucia,europe island food history culture,75,cold
134,Liechtenstein,europe food history culture,125,cold
135,Liberia,africa food history culture beach,117,mix
136,Lesotho,africa food history culture,112,mix
137,Lithuania,europe food history,109,mix
138,Luxembourg,europe  food history,89,mix
139,Latvia,europe food history culture,110,mix
140,Libya,africa beach food history,109,hot
141,Morocco,africa food history culture beach,115,hot
142,Monaco,europe food history culture beach,123,mix
143,Moldova,europe food history culture,113,cold
144,Montenegro,europe food history culture beach,119,cold
145,Saint Martin,europe food history,91,mix
146,Madagascar,africa food history,108,mix
147,Marshall Islands,northamerica island food history culture mountain,115,mix
148,North Macedonia,europe food history culture,113,mix
149,Mali,africa food history culture,112,mix
150,Myanmar,asia food history culture beach mountain,110,mix
151,Mongolia,asia food history culture beach mountain,108,cold
152,Macao,asia food history culture,137,cold
153,Northern Mariana Islands,asia island food history culture beach mountain,128,mix
154,Martinique,africa island food history culture,121,hot
155,Mauritania,africa island food history culture beach,118,mix
156,Malta,europe food history,113,mix
157,Mauritius,africa island food history culture,102,mix
158,Malawi,africa food history culture,115,mix
159,Mozambique,africa food history,111,mix
160,Namibia,africa food history culture beach,116,hot
161,Niger,africa food history,116,hot
162,Norfolk Island,europe island food history culture beach,124,cold
163,Nigeria,africa food history culture beach,110,mix
164,Nicaragua,northamerica food history culture mountain,114,hot
165,Netherlands,europe food history culture,113,cold
166,Norway,europe food history culture,117,cold
167,Nepal,asia food history culture beach,110,cold
168,Nauru,asia island food history culture,132,mix
169,Niue,asia island food history culture beach,131,mix
170,Panama,northamerica food history culture,110,hot
171,French Polynesia,asia island food history culture beach,121,cold
172,Papua New Guinea,asia food history,124,hot
173,Philippines,asia food history culture beach mountain,110,hot
174,Poland,europe food history,110,mix
175,Pitcairn,asia island food history,112,hot
176,Puerto Rico,northamerica island beach food history,119,hot
177,Palestinian Territory,asia food history culture,110,hot
178,Portugal,europe food history culture,112,cold
179,Palau,asia island food history culture beach,130,hot
180,Romania,europe food history,113,mix
181,Serbia,europe food history culture beach,115,cold
182,Rwanda,africa food history,112,mix
183,Solomon Islands,asia island food history,127,mix
184,Seychelles,africa island food history culture,114,mix
185,Sudan,africa food history culture beach,115,hot
186,Sweden,europe food history,111,cold
187,Saint Helena,africa island food history culture beach,91,hot
188,Slovenia,europe food history culture,103,mix
189,Svalbard and Jan Mayen,europe island food history,141,mix
190,Slovakia,europe island food history,111,mix
191,Sierra Leone,africa beach food history culture,110,mix
192,San Marino,africa food history culture,93,mix
193,Senegal,africa wildlife food history,113,hot
194,Somalia,africa food history culture,113,hot
195,South Sudan,africa desert food history culture,114,hot
196,Sao Tome and Principe,africa island food history culture,82,hot
197,El Salvador,northamerica food history,107,mix
198,Sint Maarten,asia island food history,101,hot
199,Syria,asia food history culture beach,112,mix
200,Eswatini,africa food history culture beach,121,mix
201,Turks and Caicos Islands,northamerica island food history culture mountain forest,83,mix
202,Chad,africa food history,108,hot
203,French Southern Territories,africa island food history culture beach,132,hot
204,Togo,africa food history,110,mix
205,Timor Leste,asia food history culture beach,122,mix
206,Tunisia,africa food history culture,113,mix
207,Tonga,africa food history,91,mix
208,Tuvalu,asia island food history,135,hot
209,Taiwan,asia food history culture beach mountain,110,hot
210,Tanzania,africa food history culture,111,hot
211,Ukraine,europe food history,111,mix
212,Uganda,africa food history culture,109,hot
213,British Virgin Islands,northamerica island food history culture,138,mix
214,U.S. Virgin Islands,northamerica island food history culture mountain forest,104,hot
215,Vietnam,asia food history,111,hot
216,Vanuatu,asia island food history culture beach,89,mix
217,Wallis and Futuna,asia island food history culture beach mountain,99,cold
218,Samoa,asia island food history culture beach,96,cold
219,Kosovo,europe food history culture,121,mix
220,Mayotte,africa island food history,102,hot
221,Zimbabwe,africa wildlife food history,110,mix
222,Zambia,africa food history culture,112,mix
